DOWLKNUM,ACCESS.avg.ann.gdd,GFDL.avg.ann.gdd,IPSL.avg.ann.gdd,MIROC5.avg.ann.gdd,MRI.avg.ann.gdd,UTMX,UTMY,LON,LAT
32005300,2505.4327632963355,2319.1433523414153,2503.955316647426,2614.4054719162914,2337.896951221484,322421.8307,4850450.315,-95.20695836,43.78580542
32005702,2434.535416298875,2240.904622928505,2434.1137503976356,2544.2853027510364,2257.1471741599175,318573.5347,4846494.339,-95.25341197,43.74928062
33000100,2163.783628667149,2009.4525341965305,2168.556065410242,2269.5813717256597,1996.94854985316,493455.6079,5109486.656,-93.08472989,46.1389247
33000900,2010.40757089311,1862.434664235612,2010.5735028358624,2110.117774123595,1849.12535549341,485891.8121,5095686.201,-93.18224823,46.01460362
33001500,2250.234694564482,2080.67126801105,2240.734870142802,2363.3158984657875,2071.010188169891,486364.1991,5082708.805,-93.17577632,45.89781181
33002800,2175.728033868928,2024.1498506210305,2176.3435048349806,2279.2247122144267,2007.181934153529,476827.2225,5091724.46,-93.29915023,45.97870035
33003200,2169.6896100295908,2015.783243352127,2171.4252862888084,2275.780605795477,1995.759414022784,471588.5988,5066096.801,-93.36526359,45.74784473
33003600,2158.5794912611477,2006.879631758482,2159.229528299438,2262.4787390581914,1991.7064438239345,475123.2219,5075249.995,-93.32029393,45.83036463
33004000,2184.737755537893,2030.3445547965468,2185.1664295163982,2293.9979350382023,2018.7014577549128,468170.6092,5084680.848,-93.41043261,45.9149593
34003200,2448.122211354902,2261.6044526077303,2452.4670662012445,2566.831456173835,2273.830534858442,359420.3805,4993686.854,-94.78623021,45.08267728
